train_loss,val_loss,lr
220.89107259114584,173.0286407470703,1.882899284863049e-05
160.5091552734375,122.07962036132812,5.41535118568247e-05
119.72096506754558,107.66920471191406,8.814743036817333e-05
108.91734229193793,105.28977966308594,9.999764958476301e-05
107.25973765055339,105.95670318603516,9.976514072909913e-05
104.76685163709853,106.14186096191406,9.915389062559404e-05
102.1457756890191,104.07332611083984,9.81685512566183e-05
104.07834031846788,101.73947143554688,9.6816621649734e-05
101.42784203423395,100.77100372314453,9.510839080556694e-05
100.8643561469184,104.22962188720703,9.305685939229921e-05
100.68345642089844,104.09386444091797,9.067764080273432e-05
97.50876956515842,102.70954132080078,8.798884232695035e-05
98.38789367675781,98.36001586914062,8.501092734488887e-05
99.4356223212348,103.35951232910156,8.176655958767764e-05
98.57071855333116,103.26587677001953,7.828043065295183e-05
97.84360758463542,101.28724670410156,7.457907208688692e-05
98.20841979980469,104.43028259277344,7.069065346311206e-05
96.6107440524631,104.05751037597656,6.664476799524553e-05
95.8138164944119,102.46813201904297,6.247220731467025e-05
96.44867197672527,105.72318267822266,5.820472712762643e-05
95.98106808132596,102.22235870361328,5.3874805535112416e-05
